schulnummer,scraped_schueler,scraped_lehrer,scraped_sprachen,scraped_bezirk,scraped_abitur,scraped_traegerschaft,scraped_gruendungsjahr,data_sources
11K17,,,,,,Öffentlich,,
10K15,,,,,,Öffentlich,,school_website
03P37,,,,,,Privat,,school_website
04P40,,,,,,Privat,,school_website
01S06,570.0,,,,,Öffentlich,,school_website
01P16,,,,,,Privat,,school_website
09P09,,,Englisch,,,Privat,1991.0,school_website
01P06,690.0,,,,,Privat,1925.0,school_website
04S05,,,,,,Öffentlich,,school_website
04P05,,,,,,Privat,,school_website
08P03,,,,,,Privat,2026.0,school_website
05P03,,,,,,Privat,,school_website
06P12,,,,,,Privat,,school_website
04P15,,,,,,Privat,,school_website
03P13,,,,,,Privat,,school_website
10P12,,,,,,Privat,,school_website
04P23,,60.0,"Englisch, Hebräisch",,,Privat,,school_website
12P04,,,Englisch,,,Privat,,school_website
01P03,24.0,,Hebräisch,,,Privat,1862.0,school_website
07P01,,,"Englisch, Französisch, Italienisch, Griechisch",,,Privat,,school_website
08P04,,,,,,Privat,,school_website
06P06,450.0,,,,,Privat,1811.0,school_website
12P14,,,,,,Privat,,school_website
09P21,,,,,,Privat,,school_website
06S01,,,,,,Öffentlich,,school_website
03P45,,,,,,Privat,2019.0,school_website
06P11,,,"Englisch, Französisch, Spanisch",,,Privat,,school_website
12P07,2013.0,,"Englisch, Russisch",,,Privat,,school_website
08S08,,,,,,Öffentlich,,school_website
04P42,,,Englisch,,,Privat,,school_website
11S05,,,,,,Öffentlich,,
01P49,,,,,,Privat,,school_website
01S01,,,,,,Öffentlich,,school_website
10S07,,,,,,Öffentlich,,school_website
08S04,,,,,,Öffentlich,,
09S06,,,,,,Öffentlich,,school_website
08S09,60.0,15.0,,,,Öffentlich,2012.0,school_website
05S01,,,,,,Öffentlich,,
03P03,,,,,,Privat,,school_website
05P19,,,Englisch,,,Privat,1999.0,school_website
03P24,50.0,,,,,Privat,,school_website
07A44,,,,,,Öffentlich,,
12S05,,,,,,Öffentlich,,school_website
12A44,35.0,,Latein,,,Öffentlich,,school_website
09Y12,,,"Englisch, Spanisch",,,Öffentlich,,school_website
03B08,,,,,,Öffentlich,,
05P13,,,,,,Privat,,school_website
11Y12,,,,,,Öffentlich,,school_website
01P18,950.0,,Englisch,,,Privat,,school_website
01P22,,,Englisch,,,Privat,,school_website
10Y12,,,"Englisch, Französisch, Spanisch, Latein",,,Öffentlich,,school_website
12P03,,,,,,Privat,,school_website
09P07,,,,,,Privat,,school_website
04P11,,,"Englisch, Französisch, Latein, Griechisch",,,Privat,2025.0,school_website
01Y07,24.0,115.0,"Englisch, Französisch, Spanisch, Latein, Griechisch",,,Öffentlich,2018.0,school_website
06P20,,,Englisch,,,Privat,,school_website
06P18,,,,,,Privat,,
04Y11,,,"Englisch, Französisch, Latein, Griechisch",,,Öffentlich,2019.0,school_website
04P04,,,,,,Privat,,school_website
04P35,,,,,,Privat,,school_website
03P10,120.0,,"Englisch, Französisch, Spanisch, Latein",,,Privat,,school_website
04P24,,,"Englisch, Französisch",,,Privat,1961.0,school_website
01Y04,,,,,,Öffentlich,,school_website
04P47,15.0,,"Englisch, Französisch, Spanisch, Chinesisch",,,Privat,,school_website
01Y13,,,,,,Öffentlich,,
