postcode,plz_avg_cars_per_hour,plz_std_cars_per_hour,plz_observation_count,plz_avg_bikes_per_hour,plz_avg_pedestrians_per_hour,plz_avg_heavy_vehicles_per_hour,plz_avg_v85_speed,plz_sensor_count
10115,211.2,271.9,9843,102.2,12.5,44.1,28.4,6
10117,183.7,154.1,7367,194.9,53.2,28.7,37.0,5
10119,37.4,45.6,7181,5.2,14.2,6.9,38.8,3
10179,243.3,203.9,18607,160.7,18.9,51.3,37.2,5
10243,375.6,135.2,8508,46.3,3.2,77.7,41.0,1
10245,220.3,120.1,17223,112.0,24.6,54.8,32.8,5
10247,122.4,97.3,29295,83.3,15.6,24.9,31.7,11
10249,58.3,36.7,6156,45.3,33.5,33.1,15.4,3
10317,483.5,362.9,13212,103.6,6.1,130.3,31.1,4
10318,144.5,164.8,46294,45.3,9.6,62.7,30.5,12
10365,189.3,163.6,13538,47.4,12.0,45.7,32.4,3
10367,70.6,44.3,12935,29.7,18.4,13.1,31.5,3
10407,65.7,50.6,2233,31.7,8.2,15.1,30.5,2
10435,119.8,76.4,8971,158.2,27.4,38.4,32.6,2
10437,206.5,98.6,390,95.5,10.2,82.1,33.9,1
10439,74.8,39.8,4846,53.5,26.8,15.9,42.3,1
10551,41.4,30.3,19666,22.1,19.3,6.8,17.9,3
10557,37.5,24.8,1779,9.2,7.0,5.9,26.7,1
10585,25.2,14.7,2925,31.0,33.9,5.0,22.6,3
10623,42.3,27.4,7732,40.1,19.4,9.6,25.2,2
10625,56.8,49.9,4280,31.3,8.4,11.8,30.3,3
10707,80.0,69.6,15400,71.4,23.9,12.3,25.6,2
10719,323.4,162.4,1853,78.0,3.9,63.0,34.6,1
10783,31.1,35.6,7555,18.9,18.8,7.9,27.4,2
10827,155.9,97.1,8518,71.6,18.6,43.6,32.9,1
10829,81.1,62.0,9200,58.1,14.6,13.7,33.0,3
10961,336.2,246.7,5507,71.0,12.1,84.0,30.9,6
10965,313.8,128.9,8463,190.2,127.7,79.6,30.2,6
10967,40.7,30.7,8666,77.5,19.0,8.5,23.5,3
10997,26.2,79.7,6810,33.7,31.3,4.7,13.7,1
12043,69.0,43.1,13441,73.3,36.7,12.3,28.7,5
12045,67.3,42.2,4805,25.5,20.9,15.5,41.0,1
12047,53.3,47.1,7735,47.7,5.0,12.0,53.4,1
12049,66.6,35.7,3918,45.3,31.8,12.9,37.1,1
12051,223.8,197.2,41671,48.9,11.2,47.1,27.1,11
12053,43.5,35.6,1427,4.9,28.1,1.9,23.1,2
12055,60.5,46.1,3098,22.4,5.7,8.4,18.3,2
12059,163.4,117.3,34511,61.0,16.1,37.0,33.9,7
12101,108.3,61.2,7595,23.2,3.3,26.1,27.1,4
12159,9.2,8.2,15062,65.9,23.6,3.1,16.6,2
12167,14.1,13.0,9780,27.5,18.4,2.2,21.4,2
12209,18.7,14.9,7485,17.5,6.2,4.4,28.5,1
12347,533.5,394.3,8132,25.5,62.7,69.3,35.5,1
12435,79.1,56.4,16105,75.6,11.3,14.9,34.9,7
12437,200.8,201.0,22596,50.6,18.1,69.8,34.6,6
12439,60.5,30.5,5876,80.5,58.1,13.8,39.3,1
12489,294.7,312.0,52015,71.1,27.4,46.6,33.3,14
12555,279.3,147.5,15101,134.7,36.5,81.5,58.5,3
12587,256.1,241.7,32983,55.1,12.6,49.8,32.0,5
13156,65.4,41.6,7415,33.8,12.8,20.4,36.1,1
13158,216.7,169.8,18700,50.1,8.6,53.4,28.1,3
13187,47.0,30.2,7963,67.8,17.2,13.4,30.7,1
13189,36.0,38.1,6560,25.9,7.7,8.5,31.7,1
13347,336.5,305.0,16815,76.0,15.7,77.4,32.7,4
13353,153.5,101.2,6183,52.2,18.7,36.4,34.6,2
13355,232.1,123.2,8526,39.1,8.0,52.9,34.3,2
13357,48.1,49.3,4880,19.8,18.8,5.1,34.7,3
13467,109.2,105.9,8340,39.0,2.8,20.7,28.4,1
14169,594.4,262.7,7117,64.1,8.8,113.2,47.7,2
14467,98.2,90.8,5075,104.3,89.9,27.2,36.2,1
14552,126.1,181.4,34599,14.1,8.3,7.7,36.5,10
15370,6.1,13.8,4328,2.3,2.0,0.6,19.7,1
15566,4.4,5.9,4799,7.4,0.2,2.3,28.5,1
15732,57.2,79.3,68416,22.1,21.1,9.7,30.8,19
15738,121.8,129.5,14104,12.3,2.6,20.3,41.3,3
15745,60.3,109.8,5148,8.7,16.3,11.6,28.7,4
16515,118.9,54.1,418,5.5,1.2,23.1,46.7,2
16547,14.5,24.4,1017,2.3,3.0,5.9,40.3,1
