postcode,plz_avg_cars_per_hour,plz_avg_bikes_per_hour,plz_avg_pedestrians_per_hour,plz_avg_heavy_vehicles_per_hour,plz_avg_v85_speed,plz_sensor_count,plz_interpolated,plz_neighbor_count,plz_avg_neighbor_distance_km
10587,42.4,30.1,18.0,8.5,25.1,0,True,5,1.24
10559,113.0,34.1,15.7,24.2,27.8,0,True,5,1.79
12163,74.2,55.6,18.1,13.9,24.0,0,True,5,2.98
13435,143.6,42.4,7.7,34.4,30.2,0,True,3,3.69
13439,152.3,43.3,8.2,37.0,30.2,0,True,3,3.44
12559,247.3,89.5,30.2,55.3,42.4,0,True,4,2.98
13053,113.5,36.9,13.0,25.9,31.5,0,True,3,4.48
12355,178.7,75.8,42.6,30.4,36.3,0,True,2,4.14
13629,32.5,27.0,27.3,5.8,20.5,0,True,2,4.33
13055,135.6,57.6,15.5,31.1,31.8,0,True,5,3.26
14059,39.7,35.5,25.2,7.7,24.0,0,True,5,1.9
13437,167.1,45.0,5.9,38.3,28.2,0,True,2,3.14
10713,115.2,63.5,16.7,22.0,26.2,0,True,5,1.89
10629,108.2,51.5,17.1,20.8,27.9,0,True,5,1.12
14057,92.7,47.8,19.6,17.9,27.0,0,True,5,2.08
13086,86.9,53.7,14.5,26.9,34.5,0,True,5,2.43
14195,221.5,59.8,15.7,42.1,30.0,0,True,5,3.51
10825,83.8,67.7,19.4,18.0,24.1,0,True,5,1.69
13349,164.2,47.1,16.8,37.4,31.3,0,True,5,2.52
10405,68.3,45.6,15.7,18.8,31.0,0,True,5,1.29
12169,43.5,41.9,17.5,10.0,23.4,0,True,5,2.98
12359,332.0,30.7,38.5,47.4,30.5,0,True,5,2.54
13469,143.7,42.6,4.7,31.2,28.3,0,True,2,3.03
10717,133.4,65.3,16.1,25.2,27.3,0,True,5,1.55
12203,130.2,36.9,13.1,25.1,28.3,0,True,4,3.08
14193,103.6,59.2,20.5,19.8,25.3,0,True,5,3.21
12279,17.1,20.9,10.3,3.7,26.1,0,True,2,3.75
12103,181.2,73.3,29.7,44.6,30.4,0,True,5,2.83
14167,258.9,39.4,10.1,49.5,34.9,0,True,3,3.68
13403,225.2,57.7,14.1,53.5,31.7,0,True,3,4.03
12683,255.2,62.5,9.4,76.4,31.3,0,True,3,4.18
12205,202.0,43.5,13.5,38.7,30.7,0,True,4,3.14
12459,170.7,73.5,33.0,49.3,38.4,0,True,5,2.89
12105,135.2,38.4,23.3,21.0,26.2,0,True,5,3.84
10319,214.6,55.9,11.1,68.9,31.4,0,True,5,2.43
14050,91.9,47.4,19.7,17.8,27.0,0,True,5,3.04
10963,173.1,72.9,33.3,43.3,30.6,0,True,5,1.7
12557,244.9,87.6,32.3,51.6,41.1,0,True,4,3.18
13627,115.1,43.2,21.5,26.0,26.6,0,True,5,4.18
12207,99.6,34.0,13.0,19.3,27.3,0,True,4,3.11
14052,95.9,48.4,19.2,18.5,27.2,0,True,5,3.79
14165,414.3,49.5,8.0,79.2,41.7,0,True,2,3.27
10709,119.9,62.5,16.4,22.7,27.1,0,True,5,1.9
10409,98.2,66.8,19.5,32.6,32.1,0,True,5,1.92
10589,38.9,28.2,20.2,7.6,24.0,0,True,5,2.41
10785,104.8,37.8,12.5,23.3,29.9,0,True,5,1.91
14199,109.7,60.5,16.3,21.1,26.5,0,True,5,2.92
10779,141.9,59.8,15.6,30.0,30.9,0,True,5,1.56
13509,154.1,43.6,5.2,34.4,28.3,0,True,2,4.06
10315,204.1,58.3,12.3,54.6,31.6,0,True,5,2.68
10781,107.4,52.6,16.8,25.2,29.8,0,True,5,1.49
12487,187.9,58.8,39.3,36.9,34.4,0,True,5,3.49
12161,74.4,60.6,18.8,14.2,23.4,0,True,5,2.44
10369,128.5,62.8,19.8,31.9,29.6,0,True,5,1.7
10555,41.2,23.9,15.8,7.6,24.0,0,True,5,1.5
12249,16.7,21.9,11.6,3.4,25.4,0,True,2,2.11
12057,147.6,49.0,15.9,36.4,28.4,0,True,5,1.73
12165,108.8,44.1,16.9,20.6,25.9,0,True,5,3.22
13409,145.8,49.3,13.9,34.9,31.8,0,True,5,2.34
10715,97.3,68.5,18.8,20.3,24.8,0,True,5,1.75
13407,170.9,52.0,14.4,40.2,31.4,0,True,5,2.72
12277,16.9,21.4,11.0,3.5,25.7,0,True,2,3.86
10823,111.6,59.6,16.7,25.4,29.4,0,True,5,1.45
